name,anime_id
kimi no na wa,32281
fullmetal alchemist brotherhood,5114
gintama,28977
steinsgate,9253
gintama,9969
haikyuu karasuno koukou vs shiratorizawa gakuen koukou,32935
hunter x hunter 2011,11061
ginga eiyuu densetsu,820
gintama movie kanketsuhen yorozuya yo eien nare,15335
gintama' enchousen,15417
clannad after story,4181
koe no katachi,28851
gintama,918
code geass hangyaku no lelouch r2,2904
haikyuu second season,28891
sen to chihiro no kamikakushi,199
shigatsu wa kimi no uso,23273
mushishi zoku shou 2nd season,24701
ookami kodomo no ame to yuki,12355
code geass hangyaku no lelouch,1575
hajime no ippo,263
rurouni kenshin meiji kenkaku romantan tsuiokuhen,44
cowboy bebop,1
one punch man,30276
mononoke hime,164
suzumiya haruhi no shoushitsu,7311
monogatari series second season,17074
mushishi zoku shou,21939
mushishi,457
tengen toppa gurren lagann,2001
great teacher onizuka,245
natsume yuujinchou go,32983
hajime no ippo new challenger,5258
mushishi zoku shou suzu no shizuku,28957
natsume yuujinchou shi,11665
howl no ugoku shiro,431
fatezero 2nd season,11741
kizumonogatari ii nekketsuhen,31757
monster,19
bakuman 3rd season,12365
death note,1535
gintama aizome kaorihen,32366
ansatsu kyoushitsu tv 2nd season,30654
haikyuu,20583
hajime no ippo rising,19647
kara no kyoukai 5 mujun rasen,4282
natsume yuujinchou san,10379
ping pong the animation,22135
mushishi special hihamukage,21329
boku dake ga inai machi,31043
yojouhan shinwa taikei,7785
aria the origination,3297
kamisama hajimemashita kakohen,30709
rainbow nisha rokubou no shichinin,6114
rezero kara hajimeru isekai seikatsu,31240
tengen toppa gurren lagann movie lagannhen,4565
zoku natsume yuujinchou,5300
ano hi mita hana no namae wo bokutachi wa mada shiranai,9989
kuroko no basket 3rd season,24415
steinsgate movie fuka ryouiki no dj vu,11577
hotarubi no mori e,10408
shokugeki no souma,28171
yuri on ice,32995
gintama yorinuki gintamasan on theater 2d,21899
jojo no kimyou na bouken stardust crusaders 2nd season,26055
gintama movie shinyaku benizakurahen,7472
hellsing ultimate,777
kiseijuu sei no kakuritsu,22535
shouwa genroku rakugo shinjuu,28735
uchuu kyoudai,12431
bakemono no ko,28805
hotaru no haka,578
kuroko no basket 2nd season,16894
major s5,5028
one piece,21
ghost in the shell stand alone complex 2nd gig,801
jojo no kimyou na bouken diamond wa kudakenai,31933
kara no kyoukai 7 satsujin kousatsu kou,5205
kingdom 2nd season,17389
slam dunk,170
usagi drop,10162
girls und panzer der film,18617
mob psycho 100,32182
nana,877
baccano,2251
mushishi zoku shou odoro no michi,24687
shingeki no kyojin,16498
bakuman 2nd season,10030
cross game,5941
doukyuusei movie,30346
evangelion 20 you can not advance,3784
shinsekai yori,13125
uchuu senkan yamato 2199,12029
chihayafuru 2,14397
fatezero,10087
jojo no kimyou na bouken tv,14719
mahou shoujo madokamagica,9756
nichijou,10165
psychopass,13601
barakamon,22789
diamond no ace second season,30230
magi the kingdom of magic,18115
mahou shoujo madokamagica movie 3 hangyaku no monogatari,11981
major world series,11917
samurai champloo,205
shokugeki no souma ni no sara,32282
katanagatari,6594
mahou shoujo madokamagica movie 2 eien no monogatari,11979
major s6,7655
mononoke,2246
shirobako,25835
ashita no joe 2,2921
hunter x hunter,136
noragami aragoto,30503
sakamichi no apollon,12531
tonari no totoro,523
ghost in the shell stand alone complex,467
kaze no tani no nausica,572
no game no life,19815
romeo no aoi sora,2559
yuuyuuhakusho,392
kino no tabi the beautiful world,486
kuroko no basket,11771
nodame cantabile,1698
ookami to koushinryou ii,5341
shingeki no kyojin kuinaki sentaku,25781
steinsgate oukoubakko no poriomania,10863
fatestay night unlimited blade works 2nd season,28701
kemono no souja erin,5420
kizumonogatari i tekketsuhen,9260
neon genesis evangelion the end of evangelion,32
toradora,4224
toki wo kakeru shoujo,2236
tsubasa tokyo revelations,2685
owarimonogatari,31181
rurouni kenshin meiji kenkaku romantan,45
stranger mukou hadan,2418
detective conan movie 06 the phantom of baker street,1365
fatestay night unlimited blade works,22297
major s1,627
mobile suit gundam the origin,10937
nanatsu no taizai,23755
natsume yuujinchou,4081
one piece film strong world,4155
higurashi no naku koro ni kai,1889
hunter x hunter ova,137
hunter x hunter greed island final,139
kuroshitsuji book of murder,23317
major s2,558
one outs,5040
beck,57
berserk,33
cowboy bebop tengoku no tobira,5
major s3,1842
mobile suit gundam unicorn,6336
natsume yuujinchou itsuka yuki no hi ni,20651
nhk ni youkoso,1210
rose of versailles,338
sakurasou no pet na kanojo,13759
angel beats,6547
bakemonogatari,5081
bungou stray dogs 2nd season,32867
hajime no ippo champion road,264
one piece film z,12859
ouran koukou host club,853
detective conan movie 13 the raven chaser,5460
durarara,6746
nodame cantabile finale,5690
planetes,329
shelter,34240
tenkuu no shiro laputa,513
gintama shiroyasha koutan,6945
hachimitsu to clover ii,1142
inuyasha kanketsuhen,6811
kaguyahime no monogatari,16664
katekyo hitman reborn,1604
kuroshitsuji book of circus,22145
ookami to koushinryou,2966
boku no hero academia,31964
gin no saji 2nd season,19363
little busters refrain,18195
major message,9890
saint seiya the lost canvas meiou shinwa 2,9130
sket dance,9863
bakuman,7674
danshi koukousei no nichijou,11843
kotonoha no niwa,16782
kyoukai no kanata movie i'll be here miraihen,28675
major s4,3226
omoide no marnie,21557
working lord of the takanashi,31715
ghost in the shell,43
kon movie,9617
kuroko no basket saikou no present desu,31051
mahou shoujo lyrical nanoha the movie 2nd a's,10153
sennen joyuu,1033
steinsgate kyoukaimenjou no missing link divide by zero,32188
xxxholic kei,3091
berserk ougon jidaihen iii kourin,12115
death parade,28223
fullmetal alchemist,121
gyakkyou burai kaiji ultimate survivor,3002
hunter x hunter greed island,138
redline,6675
chihayafuru,10800
detective conan movie 20 the darkest nightmare,32005
dragon ball z,813
